FREQ,Frequency,REF_AREA,Territory,DATA_TYPE_AGGR,Aggregate,VALUATION,Valuation (DESC),ADJUSTMENT,Adjustment (DESC),EDITION,Edition (DESC),TIME_PERIOD,Observation,OBS_STATUS,Observation status,NOTE_REF_AREA,Territory (NOTE_REF_AREA),NOTE_DATA_TYPE_AGGR,Aggregate (NOTE_DATA_TYPE_AGGR),NOTE_VALUATION,Valuation (NOTE_VALUATION),NOTE_ADJUSTMENT,Adjustment (NOTE_ADJUSTMENT),NOTE_EDITION,Edition (NOTE_EDITION),BASE_PER,Base year,UNIT_MEAS,Measure unit,UNIT_MULT,Multiplication unit
A,Annual,IT,Italy,P31_D_W0_S13,Individual consumption expenditure of general government,Y,In previous year prices,N,Raw data,2025M3,Mar-2025,2019,192382.3,,,,,,,VAL__Y_N1,In previous year prices :they reflect the value of a product for current year at the prices of the previous year.,,,,,,,EURO,Euro,6,Millions
A,Annual,IT,Italy,P31_D_W0_S13,Individual consumption expenditure of general government,Y,In previous year prices,N,Raw data,2025M3,Mar-2025,2020,194055,,,,,,,VAL__Y_N1,In previous year prices :they reflect the value of a product for current year at the prices of the previous year.,,,,,,,EURO,Euro,6,Millions
A,Annual,IT,Italy,P31_D_W0_S13,Individual consumption expenditure of general government,Y,In previous year prices,N,Raw data,2025M3,Mar-2025,2021,209590,,,,,,,VAL__Y_N1,In previous year prices :they reflect the value of a product for current year at the prices of the previous year.,,,,,,,EURO,Euro,6,Millions
A,Annual,IT,Italy,P31_D_W0_S13,Individual consumption expenditure of general government,Y,In previous year prices,N,Raw data,2025M3,Mar-2025,2022,214229.9,,,,,,,VAL__Y_N1,In previous year prices :they reflect the value of a product for current year at the prices of the previous year.,,,,,,,EURO,Euro,6,Millions
A,Annual,IT,Italy,P31_D_W0_S13,Individual consumption expenditure of general government,Y,In previous year prices,N,Raw data,2025M3,Mar-2025,2023,224868.4,,,,,,,VAL__Y_N1,In previous year prices :they reflect the value of a product for current year at the prices of the previous year.,,,,,,,EURO,Euro,6,Millions
A,Annual,IT,Italy,P31_D_W0_S13,Individual consumption expenditure of general government,Y,In previous year prices,N,Raw data,2025M3,Mar-2025,2024,225911.2,,,,,,,VAL__Y_N1,In previous year prices :they reflect the value of a product for current year at the prices of the previous year.,,,,,,,EURO,Euro,6,Millions
A,Annual,IT,Italy,P31_D_W0_S13,Individual consumption expenditure of general government,Y,In previous year prices,N,Raw data,2025M9,Sep-2025,2016,186526,,,,,,,VAL__Y_N1,In previous year prices :they reflect the value of a product for current year at the prices of the previous year.,,,,,,,EURO,Euro,6,Millions
A,Annual,IT,Italy,P31_D_W0_S13,Individual consumption expenditure of general government,Y,In previous year prices,N,Raw data,2025M9,Sep-2025,2017,189609.1,,,,,,,VAL__Y_N1,In previous year prices :they reflect the value of a product for current year at the prices of the previous year.,,,,,,,EURO,Euro,6,Millions
A,Annual,IT,Italy,P31_D_W0_S13,Individual consumption expenditure of general government,Y,In previous year prices,N,Raw data,2025M9,Sep-2025,2018,193284,,,,,,,VAL__Y_N1,In previous year prices :they reflect the value of a product for current year at the prices of the previous year.,,,,,,,EURO,Euro,6,Millions
A,Annual,IT,Italy,P31_D_W0_S13,Individual consumption expenditure of general government,Y,In previous year prices,N,Raw data,2025M9,Sep-2025,2019,192382.3,,,,,,,VAL__Y_N1,In previous year prices :they reflect the value of a product for current year at the prices of the previous year.,,,,,,,EURO,Euro,6,Millions
